#,id,date_time,open,close,low,high,volume,pair_id
158,10363004,2016-01-05 07:00:00.000000,430.14021095,430.37677352,429.5695,435.999999,427.64728309,83
159,10363005,2016-01-06 07:00:00.000000,430.17047263,427.50002018,427.290001,434.99999973,819.34482713,83
160,10363006,2016-01-07 07:00:00.000000,427.50057343,458.89700208,427.50057343,458.89700208,10706.24231174,83
161,10363007,2016-01-08 07:00:00.000000,451.10001118,453.05,446.99999999,468,5912.94840652,83
162,10363008,2016-01-09 07:00:00.000000,453.05,447.420001,447.00037915,457.3980537,1879.48546964,83
163,10363009,2016-01-10 07:00:00.000000,447.420001,450.72851988,440.02000706,453.02999998,9116.86086338,83
164,10363010,2016-01-11 07:00:00.000000,448.77,447,444.89,455.66999999,7224.81225238,83
165,10363011,2016-01-12 07:00:00.000000,448.08324386,434.4962313,434.07784163,448.62,7525.82848928,83
166,10363012,2016-01-13 07:00:00.000000,433.4962313,433.68500408,424.001,439.69999998,9072.75886437,83
167,10363013,2016-01-14 07:00:00.000000,428.53476603,429.49640246,424,434.99999999,2267.46968672,83
168,10363014,2016-01-15 07:00:00.000000,428.88954001,362,358.000006,429.49640246,27192.75979869,83
169,10363015,2016-01-16 07:00:00.000000,357,386.4618669,333.6,387.99999999,19523.98472643,83
170,10363016,2016-01-17 07:00:00.000000,386.46186691,370,369.71695546,394.1,13842.4998052,83
171,10363017,2016-01-18 07:00:00.000000,371.44223035,388,367.11112952,399.94999999,22196.01999022,83
172,10363018,2016-01-19 07:00:00.000000,393.89998999,378.50200171,376.73464414,395,8779.08855613,83
173,10363019,2016-01-20 07:00:00.000000,379.502007,422.88270948,377.4225,422.88270948,15387.14149928,83
174,10363020,2016-01-21 07:00:00.000000,418.00000397,406.0000001,401.43089234,420.42999999,6751.03616056,83
175,10363021,2016-01-22 07:00:00.000000,405.0000003,380.97271858,375,413.26513434,6756.02213209,83
176,10363022,2016-01-23 07:00:00.000000,378.02890176,389.94000001,378.02890176,404.36071952,13328.05830136,83
177,10363023,2016-01-24 07:00:00.000000,385.00000003,402.85787573,378.80930001,407.91799999,10516.92480948,83
178,10363024,2016-01-25 07:00:00.000000,404.82937107,391.17000081,384.90950034,406.80087625,18108.31186502,83
179,10363025,2016-01-26 07:00:00.000000,390.26000002,395.11999999,384.90950034,399.65700001,15647.27354435,83
180,10363026,2016-01-27 07:00:00.000000,387.79,396,384.332,401.17609864,12979.7346639,83
181,10363027,2016-01-28 07:00:00.000000,391.19000101,378.0000001,374.68813274,391.19000101,11050.97176019,83
182,10363028,2016-01-29 07:00:00.000000,376.98,376.8600002,357.59046709,381.0000001,12980.18192613,83
183,10363029,2016-01-30 07:00:00.000000,378.94281121,378.66999987,371.2,380.5,1781.19602242,83
184,10363030,2016-01-31 07:00:00.000000,380.22999999,367.33999995,362.60000001,380.5,8407.72255208,83
185,10363031,2016-02-01 07:00:00.000000,367.33999991,370.45,360.5,380.09999995,13509.41891094,83
186,10363032,2016-02-02 07:00:00.000000,376.09,368.6900001,368.67145259,377.7777777,5604.44787387,83
187,10363033,2016-02-03 07:00:00.000000,368.81387894,358.52,351.8881965,373,9004.93684017,83
188,10363034,2016-02-04 07:00:00.000000,360.00002945,389.59999999,358.51,389.59999999,17028.530682,83
189,10363035,2016-02-05 07:00:00.000000,385.7773098,385.98899663,380.3530589,397.97511686,22708.10009319,83
190,10363036,2016-02-06 07:00:00.000000,388.18962933,377.63999823,371,388.18962933,15583.53414189,83
191,10363037,2016-02-07 07:00:00.000000,376.96999674,372.99999916,368.99999823,381.67419373,15932.59275596,83
192,10363038,2016-02-08 07:00:00.000000,372.99999916,369.65447893,369.09999999,379.00999997,6479.48321648,83
